team_name,team_id,elo,matches_played
Unknown,9017213,1531.96,4
Unknown,9691322,1531.93,2
Unknown,9408199,1531.93,2
Unknown,9545354,1531.93,8
Unknown,10008067,1531.71,16
Unknown,9063145,1531.71,4
Unknown,8849966,1531.53,15
Unknown,9063293,1531.51,4
Unknown,1986857,1531.5,2
Unknown,9750327,1531.33,2
Unknown,9907018,1531.3,2
Unknown,9098393,1531.26,2
Unknown,9829366,1531.26,2
Unknown,9664779,1531.26,2
Unknown,9878169,1531.26,2
Unknown,9352048,1531.26,2
Unknown,10014271,1531.26,2
Unknown,9781824,1531.2,2
StrongBoys,10033620,1531.11,49
Unknown,9916228,1531.04,6
Unknown,9906769,1530.83,4
Unknown,9032374,1530.59,2
Unknown,10048511,1530.58,11
Unknown,9498329,1530.56,4
Unknown,9019074,1530.53,2
Unknown,9424879,1530.53,2
Unknown,9879163,1530.53,2
Unknown,9704788,1530.53,2
Unknown,9917393,1530.53,2
Unknown,10074637,1530.34,7
Team Invictus,9759380,1530.29,15
Unknown,9691942,1530.17,233
Unknown,10020691,1530.13,10
Unknown,7850708,1530.0,9
Unknown,9471746,1529.93,25
Unknown,9586554,1529.8,2
Unknown,9517326,1529.76,8
Unknown,9860752,1529.52,18
Unknown,9843235,1529.5,26
Unknown,10007804,1528.73,9
Unknown,9829263,1528.52,20
Unknown,9895542,1528.39,6
Unknown,9849447,1528.36,4
Unknown,8878312,1528.29,2
Unknown,9829410,1528.19,31
Unknown,9855041,1528.09,10
Unknown,9980659,1528.06,2
Unknown,10046755,1528.05,6
Unknown,8494848,1528.01,122
Unknown,9906414,1527.94,2
Unknown,9844773,1527.92,10
Unknown,9776500,1527.87,2
Unknown,9799439,1527.76,12
Unknown,9843975,1527.68,22
BOOM Esports,7732977,1527.66,75
Unknown,8987220,1527.6,241
Unknown,9844322,1527.49,14
Unknown,9964701,1527.48,12
Unknown,9897021,1527.26,6
Unknown,10053515,1526.81,17
Unknown,9878494,1526.72,757
Unknown,9791482,1526.5,15
Unknown,9579337,1526.25,23
Unknown,7258250,1526.2,4
Unknown,7818637,1526.01,25
Unknown,10088186,1525.8,5
Unknown,9839292,1525.34,10
Unknown,10026948,1525.31,13
Unknown,9563873,1525.22,76
Unknown,10094688,1524.84,5
Unknown,9006126,1524.66,7
Unknown,9894600,1523.97,8
Unknown,10000118,1523.48,16
Unknown,9818906,1523.33,12
Unknown,10033415,1523.31,4
Unknown,9850981,1523.22,10
Unknown,9622426,1522.66,82
Unknown,8737621,1522.62,1
Unknown,9716330,1522.18,10
Unknown,9855042,1521.8,9
Unknown,10014572,1521.77,2
Unknown,10081473,1521.77,6
Unknown,9824693,1521.36,20
Nethercore,9692104,1521.32,3
Unknown,9964460,1521.27,7
Unknown,9879000,1521.25,3
Unknown,9948718,1521.22,10
Unknown,9812736,1520.87,14
Unknown,9844095,1520.52,6
Unknown,9717829,1520.37,1
Unknown,9545782,1520.23,51
Unknown,9545569,1520.13,11
